,BU_CODE,BU_NAAM,WK_CODE,GM_CODE,GM_NAAM,IND_WBI,WATER,POSTCODE,DEK_PERC,OAD,STED,AANT_INW,AANT_MAN,AANT_VROUW,P_00_14_JR,P_15_24_JR,P_25_44_JR,P_45_64_JR,P_65_EO_JR,P_ONGEHUWD,P_GEHUWD,P_GESCHEID,P_VERWEDUW,BEV_DICHTH,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,P_OVER_NW,OPP_TOT,OPP_LAND,OPP_WATER,geometry,x,y
0,BU00140000,Binnenstad-Noord,WK001400,GM0014,Groningen,1,NEE,9712,1,6262,1,4440,2335,2105,3,47,33,11,6,86,8,5,1,11974,3595,83,14,3,1.2,16,10,0,1,1,1,7,39,37,2,"POLYGON ((6.55710329001678 53.219328020802, 6.557712819335701 53.21975405148062, 6.558815052220619 53.22017682590145, 6.560841151060995 53.22078784048346, 6.562749591896223 53.22134321443565, 6.564799033391971 53.2218507744416, 6.565319397441431 53.22200064546329, 6.566275794464649 53.22224112510597, 6.566652832842982 53.22228921759937, 6.567028864815725 53.22230044360545, 6.567572788562931 53.22221802566249, 6.568404873765347 53.22199534712206, 6.570093561711434 53.22149187107841, 6.570385987877211 53.22137958599512, 6.570716350263274 53.22109818112111, 6.571924691155835 53.21986591597389, 6.572740660790299 53.21845949071237, 6.572427661894359 53.21847282694483, 6.569875278998304 53.2183159478377, 6.569523164798243 53.21831690150422, 6.568930906071356 53.21835095335287, 6.568425611701176 53.21855407864544, 6.567815117875234 53.2184139682337, 6.567860372499972 53.21829481249789, 6.566683845635668 53.21791511617705, 6.566592946476409 53.21802959781533, 6.566234343066582 53.21790237019285, 6.566094307503763 53.2179170458254, 6.566059485338572 53.21778205291167, 6.565845468915485 53.21764774203527, 6.563759753663722 53.2170535427724, 6.562391681853687 53.21677363413358, 6.561410369298112 53.21660513179327, 6.560096731757704 53.2165701726, 6.559397931117432 53.21661663130743, 6.559415666259675 53.21727066676142, 6.559305209082708 53.21757557543084, 6.558872595827993 53.21806973837468, 6.558210474996724 53.21843750676167, 6.557761692079592 53.21875563779238, 6.55710329001678 53.219328020802))",6.564795462810656,53.219464988625155
1,BU00140001,Binnenstad-Zuid,WK001400,GM0014,Groningen,1,NEE,9711,1,5970,1,6600,3565,3035,3,47,33,11,6,87,7,4,1,11977,5290,83,14,3,1.2,16,11,0,2,1,1,7,59,55,4,"POLYGON ((6.572740660790299 53.21845949071237, 6.573914243100202 53.21706222706617, 6.57405520078102 53.21690529628245, 6.574385821251303 53.21661808536575, 6.575031050291248 53.21632930878495, 6.576104413036512 53.21597999422048, 6.576600097788202 53.21573678525241, 6.575855192424435 53.21492757186257, 6.573686511965162 53.21377631037877, 6.573670553359416 53.21376823649717, 6.573331489084345 53.21359670275878, 6.572388539881623 53.21311965126468, 6.570148376332197 53.21263178061069, 6.567859403765684 53.21205403541347, 6.565815200625137 53.21191778730273, 6.565813821191261 53.21191769499601, 6.564816208006669 53.21197403520718, 6.564068769778653 53.21201624210027, 6.559853473430805 53.21293514245362, 6.558665237981623 53.21310309952359, 6.559120227691152 53.21397882863121, 6.559345423012817 53.21485680050854, 6.559397931117432 53.21661663130743, 6.560096731757704 53.2165701726, 6.561410369298112 53.21660513179327, 6.562391681853687 53.21677363413358, 6.563759753663722 53.2170535427724, 6.565845468915485 53.21764774203527, 6.566059485338572 53.21778205291167, 6.566094307503763 53.2179170458254, 6.566234343066582 53.21790237019285, 6.566592946476409 53.21802959781533, 6.566683845635668 53.21791511617705, 6.567860372499972 53.21829481249789, 6.567815117875234 53.2184139682337, 6.568425611701176 53.21855407864544, 6.568930906071356 53.21835095335287, 6.569523164798243 53.21831690150422, 6.569875278998304 53.2183159478377, 6.572427661894359 53.21847282694483, 6.572740660790299 53.21845949071237))",6.5673544368428525,53.21510811892274
2,BU00140002,Binnenstad-Oost,WK001400,GM0014,Groningen,1,NEE,9711,3,5667,1,3920,2055,1865,3,41,35,14,7,84,10,5,1,14610,3115,80,16,4,1.3,16,13,0,2,1,1,9,29,27,2,"POLYGON ((6.566275794464649 53.22224112510597, 6.56627834262749 53.22261885542174, 6.56971373162562 53.2236624098449, 6.569713731670626 53.22366241148991, 6.570042385656313 53.22350897245371, 6.574172930547902 53.22139448663609, 6.575763286598958 53.22027745228538, 6.57648408840125 53.22049901432966, 6.576914054829493 53.22074957932222, 6.577075583423697 53.22081163719737, 6.577261790851308 53.22086892125095, 6.577892946428642 53.22097232104063, 6.578351837535066 53.22111362503652, 6.578525159365622 53.22113844125515, 6.578769654832723 53.22113142113137, 6.578779429166626 53.22076579352922, 6.578538994974919 53.21965323778458, 6.578309841641399 53.21922128956733, 6.578195380861941 53.21896325754378, 6.57837840695784 53.21861463747951, 6.57846637949454 53.21852064860101, 6.578505028393121 53.21847935544484, 6.578505028347787 53.21847935379983, 6.578547161352525 53.21843433910858, 6.578860341942718 53.21809972589665, 6.580145201571002 53.21705154032897, 6.580145201525606 53.21705153868395, 6.580028593347219 53.21701593453636, 6.576600097788202 53.21573678525241, 6.576104413036512 53.21597999422048, 6.575031050291248 53.21632930878495, 6.574385821251303 53.21661808536575, 6.57405520078102 53.21690529628245, 6.573914243100202 53.21706222706617, 6.572740660790299 53.21845949071237, 6.571924691155835 53.21986591597389, 6.570716350263274 53.22109818112111, 6.570385987877211 53.22137958599512, 6.570093561711434 53.22149187107841, 6.568404873765347 53.22199534712206, 6.567572788562931 53.22221802566249, 6.567028864815725 53.22230044360545, 6.566652832842982 53.22228921759937, 6.566275794464649 53.22224112510597))",6.574328044553884,53.21960927923173
3,BU00140003,Binnenstad-West,WK001400,GM0014,Groningen,1,NEE,9718,1,6046,1,1765,975,795,3,39,39,11,8,84,10,4,2,18101,1415,81,15,4,1.2,18,8,0,1,1,0,6,11,10,1,"POLYGON ((6.556893777536136 53.21930262814763, 6.55710329001678 53.219328020802, 6.557761692079592 53.21875563779238, 6.558210474996724 53.21843750676167, 6.558872595827993 53.21806973837468, 6.559305209082708 53.21757557543084, 6.559415666259675 53.21727066676142, 6.559397931117432 53.21661663130743, 6.559345423012817 53.21485680050854, 6.559120227691152 53.21397882863121, 6.558665237981623 53.21310309952359, 6.556682673808968 53.21354884471505, 6.556324254999748 53.21397955115386, 6.555858176383023 53.2140231467916, 6.555876569199289 53.21425274032312, 6.556205231777544 53.21478700555716, 6.556428156115654 53.21514218592007, 6.556654309775341 53.21552199318511, 6.556810337400029 53.21582744697907, 6.556578815911272 53.21611489572791, 6.557571993654783 53.216372754394, 6.557034683249905 53.21719628545061, 6.556236992818298 53.21837582089133, 6.555973740685263 53.21898325831432, 6.555906524497907 53.21918296141726, 6.556893777536136 53.21930262814763))",6.557815511529017,53.21604425430945
4,BU00140004,Noorderplantsoen,WK001400,GM0014,Groningen,1,NEE,9717,2,5997,1,10,5,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,1.5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,20,19,0,"POLYGON ((6.560228144877879 53.22768364491676, 6.560859807765771 53.22668262486238, 6.561210541368481 53.22612671293472, 6.55999641055492 53.22611072722628, 6.558851646979831 53.22603519092107, 6.557538330068987 53.22568522705911, 6.557905708362444 53.22526710290015, 6.55666228017665 53.22483601973143, 6.556112603863311 53.22366140340745, 6.555768159468423 53.22292531401764, 6.555794546441469 53.22262362173763, 6.555963625131485 53.22208823909648, 6.556026035414939 53.22175510496583, 6.556030902207741 53.22089091611131, 6.556093929088473 53.22065173008464, 6.556732109996648 53.2195817482503, 6.556893777536136 53.21930262814763, 6.555906524497907 53.21918296141726, 6.554938725043732 53.21909173640358, 6.553340269239755 53.21937170565909, 6.553472238007608 53.21965650428914, 6.553546566958421 53.21983649755143, 6.553240980837701 53.22022395832567, 6.55290034459006 53.2207910181769, 6.552699933106834 53.2212818502036, 6.552647250077223 53.22171080469236, 6.552725041379881 53.22244675131437, 6.5530498842219 53.22312992883396, 6.553555522385209 53.22357527649371, 6.554224680077981 53.22396273222468, 6.554470352461687 53.22411059493318, 6.554069307791504 53.22509068307893, 6.553808940612488 53.22572441581388, 6.554054920790132 53.22604418473947, 6.55468573664468 53.22620807153205, 6.556848754672438 53.2263989964955, 6.557236209164638 53.22655598547686, 6.558198101705575 53.22726012000314, 6.558811370367674 53.22757203531727, 6.559169354629071 53.22767152364467, 6.559810272751998 53.22758802485075, 6.560228144877879 53.22768364491676))",6.555730995280037,53.22343948318144
5,BU00140005,Hortusbuurt-Ebbingekwartier,WK001400,GM0014,Groningen,1,NEE,9712,2,6326,1,5510,2820,2685,5,42,30,15,8,82,10,5,2,12667,4275,80,14,6,1.3,16,10,0,2,1,1,7,45,43,1,"POLYGON ((6.571620672181153 53.22661270055285, 6.567533346495092 53.22475959378667, 6.569634764994842 53.22369927720577, 6.569713731670626 53.22366241148991, 6.56971373162562 53.2236624098449, 6.56627834262749 53.22261885542174, 6.566275794464649 53.22224112510597, 6.565319397441431 53.22200064546329, 6.564799033391971 53.2218507744416, 6.562749591896223 53.22134321443565, 6.560841151060995 53.22078784048346, 6.558815052220619 53.22017682590145, 6.557712819335701 53.21975405148062, 6.55710329001678 53.219328020802, 6.556893777536136 53.21930262814763, 6.556732109996648 53.2195817482503, 6.556093929088473 53.22065173008464, 6.556030902207741 53.22089091611131, 6.556026035414939 53.22175510496583, 6.555963625131485 53.22208823909648, 6.555794546441469 53.22262362173763, 6.555768159468423 53.22292531401764, 6.556112603863311 53.22366140340745, 6.55666228017665 53.22483601973143, 6.557905708362444 53.22526710290015, 6.557538330068987 53.22568522705911, 6.558851646979831 53.22603519092107, 6.55999641055492 53.22611072722628, 6.561210541368481 53.22612671293472, 6.561867742364139 53.22618597197065, 6.564092422299286 53.22647887762716, 6.565089442319399 53.22600081628809, 6.566404130802387 53.22532821518225, 6.570872799849706 53.22719831835786, 6.571620672181153 53.22661270055285))",6.561954152843413,53.22355797777657
6,BU00140007,UMCG,WK001400,GM0014,Groningen,1,NEE,9713,1,5987,1,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,2.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,24,24,0,"POLYGON ((6.569713731670626 53.22366241148991, 6.569634764994842 53.22369927720577, 6.567533346495092 53.22475959378667, 6.571620672181153 53.22661270055285, 6.574020935368895 53.22510727818315, 6.575435702939071 53.22472573443808, 6.576334691347911 53.22433158304492, 6.577112075684732 53.22388848642262, 6.57755492724256 53.22354863271146, 6.57832810080587 53.22268204084396, 6.578688246621658 53.22194454648539, 6.578756902414503 53.22137709249003, 6.578769654832723 53.22113142113137, 6.578525159365622 53.22113844125515, 6.578351837535066 53.22111362503652, 6.577892946428642 53.22097232104063, 6.577261790851308 53.22086892125095, 6.577075583423697 53.22081163719737, 6.576914054829493 53.22074957932222, 6.57648408840125 53.22049901432966, 6.575763286598958 53.22027745228538, 6.574172930547902 53.22139448663609, 6.570042385656313 53.22350897245371, 6.569713731670626 53.22366241148991))",6.573704797891435,53.2234758770547
7,BU00140008,Stationsgebied,WK001400,GM0014,Groningen,1,NEE,9726,1,5478,1,385,215,170,0,54,21,9,15,78,14,5,3,3018,350,90,9,1,1.1,42,21,0,0,0,1,20,15,13,2,"POLYGON ((6.570148376332197 53.21263178061069, 6.570690304274394 53.21186663480751, 6.571320356870777 53.21073981151186, 6.570737865426019 53.2107877954891, 6.568056443704565 53.21071806298091, 6.562734525981637 53.2105411733199, 6.561049524130022 53.21061608331935, 6.559334082904677 53.21056231233896, 6.559324495961985 53.21059520604673, 6.559291592055147 53.21070337367384, 6.558694589819186 53.2127885583856, 6.558665237981623 53.21310309952359, 6.559853473430805 53.21293514245362, 6.564068769778653 53.21201624210027, 6.564816208006669 53.21197403520718, 6.565813821191261 53.21191769499601, 6.565815200625137 53.21191778730273, 6.567859403765684 53.21205403541347, 6.570148376332197 53.21263178061069))",6.56441765978152,53.21152440091166
8,BU00140100,De Meeuwen,WK001401,GM0014,Groningen,1,NEE,9723,1,4009,1,1500,775,725,10,28,24,22,15,69,23,6,2,6869,1010,70,18,12,1.5,27,12,0,1,1,0,10,23,22,1,"POLYGON ((6.580145201525606 53.21705153868395, 6.581793978308819 53.21572918311807, 6.582531337324895 53.21514880250756, 6.588021311210998 53.21184231189678, 6.588166145206278 53.21175237282274, 6.588642696946478 53.2114492339588, 6.587960799008562 53.21116601967872, 6.587282310041812 53.2108921614317, 6.586593360096633 53.21062788514562, 6.585888960828195 53.21037340502801, 6.585174467935731 53.21012269044495, 6.584465052854823 53.20987697803876, 6.583762157139105 53.20963224626079, 6.583650510621507 53.20959354054878, 6.580725477819006 53.21324027908515, 6.579136390473462 53.21481890554189, 6.57867821896768 53.21499893389799, 6.577809043693478 53.21517797162623, 6.577160019026597 53.21541520824314, 6.576600097788202 53.21573678525241, 6.580028593347219 53.21701593453636, 6.580145201525606 53.21705153868395))",6.582840089320947,53.21323040322477
9,BU00140101,Oosterpoort,WK001401,GM0014,Groningen,1,NEE,9724,1,3903,1,5240,2670,2570,5,33,34,19,8,81,12,6,2,13223,3785,71,21,8,1.4,14,7,0,1,1,0,4,42,40,2,"POLYGON ((6.570148376332197 53.21263178061069, 6.572388539881623 53.21311965126468, 6.573331489084345 53.21359670275878, 6.573670553359416 53.21376823649717, 6.573686511965162 53.21377631037877, 6.575855192424435 53.21492757186257, 6.576600097788202 53.21573678525241, 6.577160019026597 53.21541520824314, 6.577809043693478 53.21517797162623, 6.57867821896768 53.21499893389799, 6.579136390473462 53.21481890554189, 6.580725477819006 53.21324027908515, 6.583650510621507 53.20959354054878, 6.583059622452423 53.2093886822148, 6.582374299790159 53.20912804642331, 6.581751893887724 53.20881566497883, 6.58151936285851 53.20867182482369, 6.581491187972134 53.20865399914208, 6.579804371205548 53.20758665192474, 6.576907802348098 53.20901398369475, 6.576896023624252 53.20901895297725, 6.576078701513686 53.20936366033001, 6.574887106492474 53.20981337133468, 6.573442245151769 53.21025353323385, 6.571320356870777 53.21073981151186, 6.570690304274394 53.21186663480751, 6.570148376332197 53.21263178061069))",6.577289313032854,53.21159940929387
