,Entity,Handle,Level,Layer,Straat,geometry,x,y
0,LineString,73e,2,cameratoezicht vervallen,Visserstraat,"LINESTRING (6.557898723165797 53.21879675186393, 6.558446163894387 53.21899453744152, 6.558741034143042 53.21909603716864)",6.558319365862699,53.21894784828805
1,Complex Chain,740,2,cameratoezicht vervallen,Vishoek,"LINESTRING (6.558154643518506 53.21888921420211, 6.55802121314569 53.2190722693792, 6.558016681913568 53.21908484753702, 6.558015584701135 53.21909769949895, 6.558017950154102 53.21911048976541, 6.558023716525445 53.21912288444706, 6.558032733287001 53.21913455998101, 6.558044765058747 53.21914521157754, 6.558044765058747 53.21914521157752, 6.55818441530414 53.21925805724403, 6.55825043070579 53.21930328605061, 6.55831538220262 53.21934188307484, 6.558406766763682 53.21938807463835)",6.558158117123406,53.219167647901976
2,LineString,745,1,cameratoezicht totaal,Hoekstraat,"LINESTRING (6.558406766763682 53.21938807463835, 6.558480546727623 53.21941505492109, 6.558721411322003 53.21949926741685, 6.559265601402144 53.21966665445071, 6.560057607460359 53.21991563667532, 6.560632648391121 53.22009927893655, 6.561115947126314 53.22025436112741, 6.561311436235004 53.22031739185431, 6.561921076737373 53.22051745135153, 6.562604408470399 53.22074134806921, 6.563039951607383 53.22087444847934, 6.563130076415423 53.2209007361955)",6.560767592863305,53.2201468349642
3,Line,747,1,cameratoezicht totaal,Oude Kijk in 't Jatstraat,"LINESTRING (6.561223632390685 53.22028908169442, 6.560983001196891 53.22058916684961)",6.561103316793788,53.22043912427202
4,Line,749,1,cameratoezicht totaal,Kijk in 't Jatbrug,"LINESTRING (6.560983001196891 53.22058916684961, 6.560729399341939 53.22095104495389)",6.560856200269415,53.22077010590175
5,Line,74a,1,cameratoezicht totaal,3e Drift Lopendediep,"LINESTRING (6.561901842925843 53.22085037708242, 6.56213582088698 53.2205878139109)",6.562018831906411,53.22071909549666
6,Line,74b,1,cameratoezicht totaal,4e Drift Noorderhaven,"LINESTRING (6.559766422370314 53.22020558920283, 6.560050307560761 53.21991334184962)",6.559908364965537,53.22005946552623
7,Line,74c,1,cameratoezicht totaal,Gasthuisstraatje,"LINESTRING (6.558150615534158 53.21961186151255, 6.558741034143042 53.21909603716864)",6.5584458248386,53.2193539493406
8,Complex Chain,74d,2,cameratoezicht vervallen,,"LINESTRING (6.557898723165797 53.21879675186393, 6.55748795746966 53.21921556790365, 6.55747343227485 53.21923302613493, 6.557463763029408 53.21925165711983, 6.557459200360735 53.2192709779545, 6.557459862537475 53.21929048785388, 6.557465732403364 53.2193096811318, 6.557476657821182 53.21932806030814, 6.557492355615405 53.2193451490032, 6.557512418911391 53.2193605042855, 6.557536327680988 53.21937372815242, 6.558150615534158 53.21961186151255)",6.5577324426415275,53.21926886996569
9,LineString,751,1,cameratoezicht totaal,,"LINESTRING (6.558150615534158 53.21961186151255, 6.558600200602681 53.21978614290941, 6.559379943983202 53.22007236049285, 6.559896173023113 53.22025031701369, 6.560608602878041 53.22047302277472, 6.560810352845473 53.22053503983278, 6.560983001196891 53.22058916684961)",6.559559775515236,53.220120858516346
