,nummer,coffeeshop,straatnaam,huisnr,huislt,toev,postcode,woonplaats,Zoekadres,geometry,x,y
0,8.0,Stichting Kunstpromotie,Oude Boteringestraat,53.0,,,9712GE,Groningen,9712GE53,POINT (6.563699526443251 53.22037349765031),6.563699526443251,53.220373497650314
1,2.0,The Clown,Folkingestraat,24.0,,,9711JW,Groningen,9711JW24,POINT (6.564697324506838 53.2158578628983),6.564697324506838,53.2158578628983
2,14.0,nnb aanvraag ontvangen,Steentilstraat,22.0,,,9711GM,Groningen,9711GM22,POINT (6.572070738792275 53.21636044088237),6.572070738792275,53.21636044088237
3,9.0,De Vliegende Hollander,Gedempte Zuiderdiep,63.0,,,9711HC,Groningen,9711HC63,POINT (6.566703699863661 53.21479140204131),6.566703699863661,53.214791402041314
4,1.0,The Happy,Damsterdiep,5.0,,,9711SG,Groningen,9711SG5,POINT (6.57509114770742 53.21689572200327),6.57509114770742,53.21689572200327
5,4.0,Taverne Oasis,Meeuwerderweg,60.0,,,9724EV,Groningen,9724EV60,POINT (6.57875325651461 53.21252667985384),6.57875325651461,53.21252667985384
6,13.0,nnb aanvraag ontvangen,Noorderhaven,39.0,,,9712VH,Groningen,9712VH39,POINT (6.55826344512023 53.2202812499086),6.55826344512023,53.2202812499086
7,10.0,Koffieshop Reykjavik,Spilsluizen,6.0,,,9712NS,Groningen,9712NS6,POINT (6.564879252975367 53.22162971455839),6.564879252975367,53.22162971455839
8,12.0,nnb aanvraag ontvangen,Aweg,8.0,,,9718CS,Groningen,9718CS8,POINT (6.55649169821637 53.21619184126245),6.55649169821637,53.21619184126245
9,6.0,Café Dees,Papengang,3.0,,,9711PA,Groningen,9711PA3,POINT (6.570410219756891 53.21742790375238),6.570410219756891,53.21742790375238
10,3.0,De Medley,Gedempte Zuiderdiep,64.0,,,9711HK,Groningen,9711HK64,POINT (6.56683685512061 53.21446460545656),6.56683685512061,53.214464605456556
11,11.0,"Coffeeshop ""Retro""",Korenstraat,8.0,,,9712LX,Groningen,9712LX8,POINT (6.564376542203098 53.22385063348126),6.564376542203098,53.22385063348126
12,5.0,"Soft-Shop ""De Driemaster""",Nieuweweg,18.0,,,9711TD,Groningen,9711TD18,POINT (6.574527014233397 53.2183960683877),6.574527014233397,53.218396068387705
13,7.0,Rag-A-Muffin,Noorderstationsstraat,15.0,,,9716AN,Groningen,9716AN15,POINT (6.559737825920706 53.22875212381774),6.559737825920706,53.22875212381774
