,horecatype,naam,objecttype,geometry,x,y
0,fast_food,Burger King,node,POINT (6.5635088 53.2108691),6.5635088,53.2108691
1,cafe,Mr. Mofongo,node,POINT (6.5640251 53.2193577),6.5640251,53.2193577
2,fast_food,Kentucky Fried Chicken,node,POINT (6.5849807 53.21665639999999),6.5849807,53.21665639999999
3,restaurant,Wok Euroborg,node,POINT (6.5923471 53.20698629999998),6.5923471,53.20698629999998
4,fast_food,Cafetaria Gruno,node,POINT (6.544655800000001 53.2156333),6.544655800000001,53.2156333
5,fast_food,Makahan Indonesia,node,POINT (6.5449286 53.2156991),6.5449286,53.2156991
6,restaurant,Papipa,node,POINT (6.5089011 53.20661189999999),6.5089011,53.20661189999999
7,restaurant,Ou Hai,node,POINT (6.555328899999999 53.21220450000001),6.555328899999999,53.212204500000006
8,restaurant,La Trattoria,node,POINT (6.5557607 53.2122527),6.5557607,53.2122527
9,cafe,Westerhof,node,POINT (6.5977883 53.2260089),6.5977883,53.2260089
10,restaurant,Zondag Noorderplantsoen,node,POINT (6.5556094 53.22453419999999),6.5556094,53.224534199999994
11,restaurant,De zevende hemel,node,POINT (6.5629641 53.22334570000001),6.5629641,53.22334570000001
12,pub,De drie uiltjes,node,POINT (6.5664794 53.2205586),6.5664794,53.2205586
13,fast_food,Quick'n tasty,node,POINT (6.5677643 53.20784889999999),6.5677643,53.207848899999995
14,restaurant,Restaurant de Ringweg,node,POINT (6.595508000000001 53.21186469999999),6.595508000000001,53.21186469999999
15,fast_food,De Broodzaak,node,POINT (6.5647602 53.2107517),6.5647602,53.2107517
16,fast_food,Julia's,node,POINT (6.565092599999999 53.21092449999999),6.565092599999999,53.21092449999999
17,fast_food,Eetcounter Selwerd,node,POINT (6.5503414 53.23551710000001),6.5503414,53.23551710000001
18,restaurant,Grand Café,node,POINT (6.576706299999999 53.220942),6.576706299999999,53.220942
19,restaurant,De Kornuiten,node,POINT (6.5557796 53.2121179),6.5557796,53.212117899999996
20,fast_food,Ons Moeke,node,POINT (6.5559434 53.211907),6.5559434,53.211907
21,fast_food,Welkom,node,POINT (6.502517 53.21302469999998),6.502517,53.213024699999984
22,pub,Harry's cafe,node,POINT (6.6483466 53.2075747),6.6483466,53.2075747
23,cafe,Retro Coffeeshop,node,POINT (6.5643434 53.22388999999999),6.5643434,53.22388999999999
24,fast_food,Hoek,node,POINT (6.568830700000001 53.21827040000001),6.568830700000001,53.21827040000001
25,bar,'t Pakhuis,node,POINT (6.5711642 53.21793419999999),6.5711642,53.217934199999995
26,fast_food,Hasret,node,POINT (6.557734100000001 53.21657989999999),6.557734100000001,53.216579899999985
27,cafe,Café De Beurs,node,POINT (6.5638943 53.21662589999999),6.5638943,53.21662589999999
28,nightclub,Club Kiwi,node,POINT (6.5708303 53.21766540000001),6.5708303,53.21766540000001
29,fast_food,Cafetaria The Corner,node,POINT (6.5764755 53.22882010000001),6.5764755,53.22882010000001
30,fast_food,De Viersprong,node,POINT (6.548009000000001 53.220948),6.548009000000001,53.220948
31,fast_food,De Sportvriend,node,POINT (6.5001854 53.21607289999999),6.5001854,53.21607289999999
32,restaurant,Smulhuis Zuiderweg,node,POINT (6.5010408 53.21556089999999),6.5010408,53.21556089999999
33,restaurant,Chinees Indisch Restaurant Kota Radja,node,POINT (6.5027568 53.21492419999999),6.5027568,53.21492419999999
34,restaurant,Eetcafe de Stadstuin,node,POINT (6.572410200000001 53.2091441),6.572410200000001,53.209144099999996
35,cafe,Starbucks,node,POINT (6.5647184 53.2109188),6.5647184,53.2109188
36,bar,De Negende Cirkel,node,POINT (6.570650400000001 53.21820719999999),6.570650400000001,53.218207199999995
37,bar,Huize Maas,node,POINT (6.564589600000001 53.21682199999999),6.564589600000001,53.21682199999999
38,bar,Shooters,node,POINT (6.570702300000001 53.21811),6.570702300000001,53.21811
39,bar,Sunny Beach,node,POINT (6.571069999999999 53.2172526),6.571069999999999,53.2172526
40,fast_food,Max,node,POINT (6.5707443 53.21805789999999),6.5707443,53.21805789999999
41,cafe,Brasserie,node,POINT (6.570633100000001 53.2184401),6.570633100000001,53.2184401
42,pub,24/7,node,POINT (6.5636775 53.21659459999999),6.5636775,53.21659459999999
43,pub,De Drie Gezusters,node,POINT (6.568237000000001 53.21817550000001),6.568237000000001,53.21817550000001
44,cafe,Stadtlander,node,POINT (6.571131300000001 53.21829019999999),6.571131300000001,53.21829019999999
45,pub,Streetlife,node,POINT (6.5714364 53.2177081),6.5714364,53.2177081
46,restaurant,Eetcafé De Eerste Kamer,node,POINT (6.5706027 53.218014),6.5706027,53.218014
47,bar,Warhol,node,POINT (6.5702904 53.2174683),6.5702904,53.2174683
48,bar,Het Feest,node,POINT (6.570547700000001 53.21808759999999),6.5705477000000005,53.21808759999999
49,restaurant,Kaap Noord,node,POINT (6.5570858 53.21986849999999),6.5570858,53.21986849999999
50,pub,The Dogs Bollocks,node,POINT (6.5646362 53.2193748),6.5646362,53.2193748
51,restaurant,Italia,node,POINT (6.5676691 53.21566289999999),6.5676691,53.21566289999999
52,fast_food,De Kaptein,node,POINT (6.5707357 53.22752970000001),6.5707357,53.227529700000005
53,restaurant,Napoli,node,POINT (6.5585019 53.2166875),6.5585019,53.2166875
54,restaurant,De Kleine Moghul,node,POINT (6.5591654 53.22405239999999),6.5591654,53.22405239999999
55,restaurant,Louis XV,node,POINT (6.5617386 53.2197875),6.5617386,53.219787499999995
56,restaurant,Bellamis Bar à Manger,node,POINT (6.5621673 53.2182507),6.5621673,53.2182507
57,bar,Karakter,node,POINT (6.567442999999999 53.2156139),6.567442999999999,53.2156139
58,pub,Zwijnstein,node,POINT (6.5673867 53.2157768),6.5673867,53.2157768
59,pub,Noorderbar,node,POINT (6.5741794 53.23014249999999),6.5741794,53.23014249999999
60,fast_food,Visspecialist Pasél,node,POINT (6.5445597 53.23076689999999),6.5445597,53.23076689999999
61,fast_food,het Vinkennest,node,POINT (6.5291627 53.22560529999999),6.5291627,53.22560529999999
62,pub,Vinkenbar,node,POINT (6.5294007 53.2256563),6.5294007,53.2256563
63,restaurant,Fiorin,node,POINT (6.5671967 53.21800509999999),6.5671967,53.21800509999999
64,pub,Der Witz,node,POINT (6.567141800000001 53.21798549999999),6.567141800000001,53.21798549999999
65,restaurant,Fujiyama,node,POINT (6.5672067 53.2192304),6.5672067,53.2192304
66,nightclub,Kokomo,node,POINT (6.567850299999999 53.2180023),6.567850299999999,53.2180023
67,pub,De Kosterij,node,POINT (6.568343300000001 53.21927170000001),6.568343300000001,53.21927170000001
68,restaurant,Fortuna,node,POINT (6.5584556 53.22374159999999),6.5584556,53.22374159999999
69,cafe,Coffee United,node,POINT (6.5666874 53.2177448),6.5666874,53.2177448
70,restaurant,De Gans,node,POINT (6.5740649 53.2302303),6.5740649,53.2302303
71,pub,café Smits,node,POINT (6.623562899999999 53.2375973),6.623562899999999,53.2375973
72,fast_food,Subway,node,POINT (6.5836323 53.21679539999999),6.5836323,53.21679539999999
73,restaurant,Ni Hao Wok,node,POINT (6.5715831 53.2167481),6.5715831,53.2167481
74,restaurant,Schimmelpenninck,node,POINT (6.5696573 53.21669350000001),6.5696573,53.216693500000005
75,restaurant,Four Roses,node,POINT (6.5707892 53.21608319999999),6.5707892,53.21608319999999
76,bar,Branderij,node,POINT (6.5723595 53.21838889999999),6.5723595,53.218388899999994
77,fast_food,Max,node,POINT (6.569538000000001 53.21826000000001),6.5695380000000005,53.21826000000001
78,pub,De Kachel,node,POINT (6.5722975 53.2198831),6.5722975,53.2198831
79,fast_food,De Korre,node,POINT (6.5693225 53.2306999),6.5693225,53.230699900000005
80,restaurant,Stadsbar Mauritshuis,node,POINT (6.559034100000001 53.2166808),6.559034100000001,53.2166808
81,fast_food,HEMA Food,node,POINT (6.544205499999999 53.23069639999999),6.5442054999999995,53.23069639999999
82,restaurant,Bij Ons,node,POINT (6.5428429 53.23054230000001),6.5428429,53.23054230000001
83,fast_food,Kebab Centre,node,POINT (6.5426659 53.2299932),6.5426659,53.2299932
84,restaurant,Burger Palace,node,POINT (6.542628299999999 53.23006059999999),6.542628299999999,53.230060599999995
85,fast_food,Eetcounter de Kroon,node,POINT (6.5426927 53.2299225),6.5426927,53.2299225
86,pub,De Galerij,node,POINT (6.542478100000001 53.2303368),6.542478100000001,53.230336799999996
87,cafe,van Esch,node,POINT (6.5434544 53.23048129999999),6.5434544,53.23048129999999
88,restaurant,Cafetaria Doornbos,node,POINT (6.559018200000001 53.203343),6.559018200000001,53.203343
89,restaurant,Il Lago,node,POINT (6.5549711 53.18766),6.5549711,53.18766
90,fast_food,Cafetaria de Steiger,node,POINT (6.554987 53.1875602),6.554987,53.1875602
91,pub,Cafe Biljart Hoornsemeer,node,POINT (6.555082 53.18754859999999),6.555082,53.18754859999999
92,restaurant,Brasserie Zernike,node,POINT (6.533772 53.24359169999999),6.533772,53.24359169999999
93,restaurant,Bamboe Garden,node,POINT (6.5283043 53.2249303),6.5283043,53.2249303
94,fast_food,de Zeeheld,node,POINT (6.555393 53.21256249999999),6.555393,53.21256249999999
95,fast_food,vishandel M. Pronk,node,POINT (6.5559655 53.21844939999999),6.5559655,53.21844939999999
96,fast_food,Smulcorner,node,POINT (6.6159831 53.2357),6.6159831,53.2357
97,restaurant,Weeva,node,POINT (6.5707376 53.21560010000001),6.5707376,53.21560010000001
98,restaurant,Ni Hao,node,POINT (6.5438693 53.2008891),6.5438693,53.2008891
99,fast_food,Friet en zo,node,POINT (6.5141028 53.1999574),6.5141028,53.1999574
100,pub,MOOI,node,POINT (6.5599203 53.22773339999999),6.5599203,53.22773339999999
101,bar,Cafe het Kasteel,node,POINT (6.5709454 53.21750239999999),6.5709454,53.217502399999994
102,cafe,Het Concerthuis,node,POINT (6.5705218 53.21842780000001),6.5705218,53.21842780000001
103,restaurant,Costa Smeralda,node,POINT (6.5694178 53.2184224),6.5694178,53.2184224
104,fast_food,Cafetaria Friet van Piet,node,POINT (6.5794116 53.21083769999999),6.5794116,53.21083769999999
105,restaurant,Eetcafe Michel,node,POINT (6.5785316 53.21367369999999),6.5785316,53.213673699999994
106,fast_food,McDonald's,node,POINT (6.5680265 53.2164383),6.5680265,53.2164383
107,pub,Mulder,node,POINT (6.562079400000001 53.21811850000001),6.562079400000001,53.21811850000001
108,pub,de Keyzer,node,POINT (6.561808 53.21818439999999),6.561808,53.21818439999999
109,pub,de Pintelier,node,POINT (6.561727499999999 53.2185239),6.561727499999999,53.2185239
110,pub,de Wolthoorn,node,POINT (6.561717000000001 53.21817469999999),6.561717000000001,53.21817469999999
111,fast_food,McDonald's,node,POINT (6.5573893 53.2160726),6.5573893,53.216072600000004
112,restaurant,'t Feithhuis,node,POINT (6.5692807 53.2191895),6.5692807,53.2191895
