,DDINDIENIN,OMSCHRIJVI,TYPE,geometry,x,y
0,2010-06-23,"Grand Theatre, Grote Markt 35, Open Huis 5 september 2010",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.56873402917497 53.21817471778531),6.56873402917497,53.21817471778531
1,2008-04-14,"G.S.H.C. Forward, Blauwborgje 26 Ledenweekend Lustrum 3 mei 2008 en Huize Hockey Toernooi 23 mei 2008",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.527723604016132 53.24097248301047),6.527723604016132,53.240972483010474
2,2007-04-20,"Koninginnedag 2007, Folk, Folkingestraat 42",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.565168963981741 53.21550392404856),6.5651689639817405,53.215503924048555
3,2004-06-28,"Poelestraat 25, Jorgen Horeca BV, EK Voetbal",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570671903042948 53.21819146198296),6.570671903042948,53.21819146198296
4,2009-09-17,"Sint Jansstraat 7, Stedelijke Muziekschool, diverse ontheffingen 2009",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
5,2009-09-17,"Sint Jansstraat 7, Stedelijke Muziekschool, diverse activiteiten in 2010",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
6,2008-09-23,"St Jansstraat 7, Muziekschool, diverse ontheffingen 2008 en 2009",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
7,2007-08-20,"G.S.H.C. Forward, Blauwborgje 26, 26 augustus en 10 september 2007",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.527723604016132 53.24097248301047),6.527723604016132,53.240972483010474
8,2011-03-28,"Stedelijke Muziekschool, Sint Jansstraat 7, diverse data in 2011",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
9,2011-09-29,"Sint Jansstraat 7, Stedelijke Muziekschool, diverse data in 2011",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
10,2011-11-07,"Sint Jansstraat 7, Stedelijke Muziekschool, 12 november 2011",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
11,2001-01-01,"Mandaat D&H vergunning Paterswoldseweg 31, 'Ou Hai'",Drank- en Horecavergunning,POINT (6.555216534776351 53.21223141657642),6.555216534776351,53.21223141657642
12,2013-04-19,"Koninginnenacht en -dag 2013, Steakcafé Pappa Joe, Gelkingestraat 50",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.569165189380279 53.21676646085027),6.569165189380279,53.216766460850266
13,2014-04-10,"Koningsnacht en Koningsdag 2014, Est 54, Zwanestraat 3",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.564811030424978 53.21857292257855),6.564811030424978,53.218572922578545
14,2010-02-16,"Stedelijke Muziekschool, diverse presentaties 2010, Sint Jansstraat 7",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
15,2011-05-17,"Sport en spelweekend Engelbert 27,28 en 29 mei 2011, Woldjerspoorweg 5a, MFC Engelbert",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.650176614859244 53.20845782922681),6.650176614859244,53.20845782922681
16,2010-11-11,"Stedelijke Muziekschool, Sint Jansstraat 7, div. dat in 2010 en 2011",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
17,2003-04-16,"Goudkantoor, Koninginnenacht en -dag 2003, Waagplein 1",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.56628007001764 53.21848875528528),6.56628007001764,53.21848875528528
18,2015-03-02,"Koningsnacht en -dag 2015, Cafe Peter Pan, Voor 't Voormalig klein Poortje 10-11",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.575248559571516 53.21656069762634),6.575248559571516,53.21656069762634
19,2008-09-24,"St. Jansstraat 7, Muziekschool, DHO 28-05-09 en 26-06-09",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
20,2010-10-25,"Stedelijke Muziekschool, ontheffingen Swingcafé. divers data 2010/2011",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
21,2002-06-19,"Topsport Noord Nederland, Pleintjesbasketball",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.57664043028413 53.2244526873337),6.57664043028413,53.2244526873337
22,2010-03-15,"Dees van Panacea, 8 juni 2010, Antonius Deusinglaan 1 en 3",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.57160284966846 53.22407928215552),6.5716028496684595,53.22407928215552
23,2006-08-11,"Open dag Grand Theatre, zondag 3 september 2006",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.56873402917497 53.21817471778531),6.56873402917497,53.21817471778531
24,2003-12-04,"Oliemulderstraat 38, Cafe Dijkman, ivm min lg",Drank- en Horecavergunning,POINT (6.577004425294966 53.21201972633874),6.577004425294966,53.21201972633874
25,2010-04-14,"Stedelijke Muziekschook, diverse presentaties, Sint Jansstraat 7",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
26,2017-01-18,"Koningsnacht en -dag 2017, Zwarte Schaap, Schuitendiep 52",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.573305095255606 53.21865987151278),6.573305095255606,53.21865987151278
27,2010-02-15,"Stedelijke Muziekschool, Sint Jansstraat 7, diverse dagen",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
28,2011-03-24,"Stedelijke Muziekschool, Sint Jansstraat 7, 24 maart 2011",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570454634121944 53.21933977099323),6.570454634121944,53.21933977099323
29,2006-08-30,"25-jarig bestaan van De Nieuwe Weg, 2 september 2006, Nieuweweg 20",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.574781565281418 53.21839339109157),6.574781565281418,53.218393391091574
30,2017-01-18,"Koningsnacht en -dag 2017, Zwarte Schaap, Schuitendiep 52",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.573305095255606 53.21865987151278),6.573305095255606,53.21865987151278
31,2015-01-09,"Koningsnacht en -dag 2015, Est. '54, Zwanestraat 3",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.564811030424978 53.21857292257855),6.564811030424978,53.218572922578545
32,2011-04-28,"Jubileum Taptoe Excelsior 2 juli 2011, Concourslaan 10",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.546197346967548 53.20277976744941),6.546197346967548,53.202779767449414
33,2016-06-24,"Eindexamenexpositie Minerva, 9 t/m 14 juli 2016",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
34,2008-10-17,"AOC Terra, schoolfeest 28 november 2008 en 29 mei 2009",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.573366636719068 53.2028817080656),6.573366636719068,53.2028817080656
35,2016-02-05,"Loodsrave Festival, 14 en 15 mei 2016, Zeefgebouw en festivalterrein",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
36,2016-02-05,"Loodsrave Festival, 14 en 15 mei 2016, Zeefgebouw en festivalterrein",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
37,2016-06-21,"Paradigm Festival 12 t/m 15 augustus 2016, Energieweg 10 en buitenterrein",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
38,2011-01-28,"Schoolfeesten AOC Terra 11 feb 2011, Hereweg 99",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.573366636719068 53.2028817080656),6.573366636719068,53.2028817080656
39,2004-04-23,"Fiesta Latina, Schuitendiep 15, CCLA",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.571811249198515 53.2192258150794),6.571811249198515,53.219225815079405
40,2017-07-12,"Paradigm Festival 12, 13 en 14 augustus 2017, Energieweg 10",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
41,2017-07-12,"Paradigm Festival 12, 13 en 14 augustus 2017, Energieweg 10",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
42,2006-11-21,"AOC Terra, Schoolfeest, 24 november 2006, Verlengde Hereweg 99",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.573366636719068 53.2028817080656),6.573366636719068,53.2028817080656
43,2003-02-21,ontheffing puddingfabriek,Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570827569636057 53.21045665318561),6.570827569636057,53.21045665318561
44,2014-12-19,"Hundred Sound Accompanu, Pop Dijkemaweg 31, O&N 2014/15",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.594486731321894 53.22736782185597),6.594486731321894,53.22736782185597
45,2005-11-23,"Hereweg 99, AOC Terra, ivm schoolfeest 25 november 2005",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.573366636719068 53.2028817080656),6.573366636719068,53.2028817080656
46,2009-10-05,"AOC Terra, Hereweg 99, schoolfeest 20 november 2009 en 4 juni 2010",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.573366636719068 53.2028817080656),6.573366636719068,53.2028817080656
47,2014-05-06,"NOM Midzomerfeest 16 juni 2014, Voormalige Suikerunie, Van Heemskerckstraat 101, SD Event Production",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
48,2006-12-29,"Oudejaarsfeest Klimcentrum Bjoeks, Bieskemaar 3 te Groningen",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.60119906967507 53.24059688163217),6.60119906967507,53.24059688163217
49,2014-04-15,"Party Compleet, Maf Fun Festival Beijum, 24 mei 2014",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.591840679327712 53.25108859136574),6.591840679327712,53.25108859136574
50,1977-01-01,"mandaat D&H vergunning, Hora Siccamasingel 301/1",Drank- en Horecavergunning,POINT (6.57480448413948 53.19598674715519),6.57480448413948,53.19598674715519
51,2014-10-14,"Jonge Harten Theaterfestival, Oosterstraat 13, 21 t/m 29 nov 2014",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.568827253417458 53.21774005520183),6.568827253417458,53.21774005520183
52,2010-05-25,"Sport en spelweekend Engelbert, Woldjerspoorweg 5a, 27 t/m 30 mei 2010",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.650337669626618 53.2078467774303),6.650337669626618,53.2078467774303
53,2013-04-10,"Party Complet, Maf Fan Festival, 8 juni 2013, Fossemaheerd 113",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.590044544145423 53.24191289046976),6.590044544145423,53.241912890469756
54,2016-10-26,"Voetbal Vereniging Groningen VVG, Benefietavond t.b.v. kantinebouw, 5 november 2016",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.555885615160081 53.2392015341465),6.555885615160081,53.239201534146495
55,2011-04-08,"Technootjes Festival, 13-8-11, Helsinkistraat 4, P.H. Grimmius",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.597469166732192 53.21449298824744),6.597469166732192,53.214492988247436
