"id","begin_wdag_Friday","begin_wdag_Monday","begin_wdag_Saturday","begin_wdag_Sunday","begin_wdag_Thursday","begin_wdag_Tuesday","begin_wdag_Wednesday","buurt_Badstratenbuurt","buurt_Bangeweer","buurt_Beijum-Oost","buurt_Beijum-West","buurt_Binnenstad-Noord","buurt_Binnenstad-Oost","buurt_Binnenstad-West","buurt_Binnenstad-Zuid","buurt_Bloemenbuurt","buurt_Coendersborg","buurt_Corpus den Hoorn","buurt_Damsterbuurt","buurt_De Buitenhof","buurt_De Held","buurt_De Hoogte","buurt_De Hunze","buurt_De Linie","buurt_De Meeuwen","buurt_De Wijert","buurt_De Wijert-Zuid","buurt_Driebond","buurt_Drielanden","buurt_Eemskanaal","buurt_Eemspoort","buurt_Engelbert","buurt_Europapark","buurt_Euvelgunne","buurt_Florabuurt","buurt_Friesestraatweg","buurt_Gorechtbuurt","buurt_Gravenburg","buurt_Grunobuurt","buurt_Helpman","buurt_Herewegbuurt","buurt_Hoendiep","buurt_Hoogkerk Dorp","buurt_Hoogkerk-Zuid","buurt_Hoornse Meer","buurt_Hoornse Park","buurt_Hortusbuurt-Ebbingekwartier","buurt_Hunzepark","buurt_Indische buurt","buurt_Kardinge","buurt_Klein Harkstede","buurt_Klein Martijn","buurt_Koningslaagte","buurt_Kop van Oost","buurt_Kostverloren","buurt_Laanhuizen","buurt_Lewenborg-Noord","buurt_Lewenborg-West","buurt_Lewenborg-Zuid","buurt_Martini Trade Park","buurt_Noorddijk","buurt_Noorderhoogebrug","buurt_Noorderplantsoen","buurt_Noorderplantsoenbuurt","buurt_Oosterhoogebrug","buurt_Oosterpoort","buurt_Oranjebuurt","buurt_Paddepoel-Noord","buurt_Paddepoel-Zuid","buurt_Peizerweg","buurt_Piccardthof","buurt_Professorenbuurt","buurt_Reitdiep","buurt_Rivierenbuurt","buurt_Ruischerbrug","buurt_Ruischerwaard","buurt_Schildersbuurt","buurt_Selwerd","buurt_Selwerderhof","buurt_Stadspark","buurt_Stainkoel'n","buurt_Stationsgebied","buurt_Sterrebosbuurt","buurt_Suikerfabriekterrein","buurt_Tuinwijk","buurt_Ulgersmaborg","buurt_UMCG","buurt_Van Starkenborgh","buurt_Van Swieten","buurt_Villabuurt","buurt_Vinkhuizen-Noord","buurt_Vinkhuizen-Zuid","buurt_Vogelbuurt","buurt_Westpark","buurt_Winschoterdiep","buurt_Woonschepenhaven","buurt_Zeeheldenbuurt","buurt_Zernike Campus","Object_2_Bedrijfsterrein/Pand","Object_2_Erf/Tuin/Balkon","Object_2_Openbare Weg/-Water","Object_2_Opslagplaats","Object_2_Overig","Object_2_Parkeerplaats/Garage/Stal, Overige","Object_2_Parkeerplaats/Garage/Stal, Stalling","Object_2_Portiek/Lift/Trappenhuis","Object_2_Sport-/Speelterrein/-Gebo, Overige","Object_2_Station/Trein/Tram/Bushal, Overige","Object_2_Station/Trein/Tram/Bushal, Station","Object_2_Woning"
"PL0100_BVH_1043631",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PL0100_BVH_1044515",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PL0100_BVH_1044589",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PL0100_BVH_1044763",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PL0100_BVH_1044858",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PL0100_BVH_1045327",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PL0100_BVH_1045360",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PL0100_BVH_1045385",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PL0100_BVH_1045392",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PL0100_BVH_1045404",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
