"id","type","oms","kleur","fiets_soort_id","cat_code","cat_oms","soort","trefwoord"
"PL0100_BVH_2013000846","LOADED","SPARTA","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013001402",NA,"EDWARDS","ZWART",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013001534",NA,"ONBEKEND","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013001580","UNICA","ZWEIRAD UNION","GRIJS",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013001842","ECLIPSE ECLIPSE","GAZELLE","ONBEKEND","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013001842","ECLIPSE ECLIPSE","GAZELLE","ONBEKEND","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013001853",NA,"ONBEKEND","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013001865",NA,"ONBEKEND","PAARS",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013001868","TYROS BLACKLINE","SPARTA","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013001868","TYROS BLACKLINE","SPARTA","ZWART","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013001876","CLASSIC OMA DAM","REFLECTION","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013001882",NA,"KOGA MIYATA","BLAUW","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013002234",NA,"BATAVUS","BLAUW","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013002702",NA,"BATAVUS","ZILVERKLEURIG","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013002721","COSMO","GIANT","GRIJS",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013002725","ADAGIO","BATAVUS","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013002730","ORANGE VV","GAZELLE","ORANJE","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013002730","ORANGE VV","GAZELLE","ORANJE","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013002736",NA,"BATAVUS","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013002737","SFINX","UNION","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013002750","ATLAS","SPARTA","BLAUW","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
