"id","type","merk","kleur","trefwoord","soort"
"PL0100_BVH_1322332","DUTY NL","GAZELLE","ZWART","HEREN","heren"
"PL0100_BVH_3249526","ORANGE C360 HM","SPARTA","ZWART","DAMES","dames"
"PL0100_BVH_1244151","ORANGE","GAZELLE","MEERKLEURIG","DAMES","dames"
"PL0100_BVH_1342439",NA,"BATAVUS","ROOD","DAMES","dames"
"PL0100_BVH_2198836","ECLIPSE  L.E.","GAZELLE","ONBEKEND","DAMES","dames"
"PL0100_BVH_2273909","SPORT","GAZELLE","ORANJE","DAMES","dames"
"PL0100_BVH_2519730","ORANGE","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_2782152","TOULOUSE TROMME","GAZELLE","ONBEKEND","DAMES","dames"
"PL0100_BVH_2385171","CHAMONIX","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_2442764","OMA FIETS","PELIKAAN","ZWART","DAMES","dames"
"PL0100_BVH_1461440","TRADITION","HOLLANDIA","ZWART","OPOE","opoe"
"PL0100_BVH_1258116","OPAFIETS","HEMA","ZWART","HEREN","heren"
"PL0100_BVH_1141269","OLD DUTCH","BATAVUS","ZWART","OPOE","opoe"
"PL0100_BVH_2089104","ION XT","SPARTA","BLAUW","ELECTRISCH","electrisch"
"PL0100_BVH_2654690","HEAVYDUTYNL D54","GAZELLE","PAARS","DAMES","dames"
"PL0100_BVH_1533567","CHILL CS1","GIANT","ONBEKEND","HEREN","heren"
"PL0100_BVH_1555315","E-BIKE","SPARTA","ONBEKEND",NA,NA
"PL0100_BVH_1661156","ORANGE PLUS","GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_1477510",NA,"GAZELLE","GRIJS","VOUW","overig"
"PL0100_BVH_3610075","DAMESFIETS MET","GAZELLE","GROEN","DAMES","dames"
"PL0100_BVH_1505974",NA,"BATAVUS","BLAUW","DAMES","dames"
"PL0100_BVH_1507685",NA,"GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_1055948","MADISON","AVANCER","GRIJS","DAMES","dames"
"PL0100_BVH_1116483",NA,"GAZELLE","GRIJS","HEREN","heren"
"PL0100_BVH_1074107",NA,"BATAVUS","BLAUW","HEREN","heren"
"PL0100_BVH_1275655","MAMBO-7 DN7 CAM","BATAVUS","ONBEKEND","DAMES","dames"
"PL0100_BVH_1994050","U1","CORTINA","ZWART","DAMES","dames"
"PL0100_BVH_2141848",NA,"ONBEKEND","ROZE","DAMES","dames"
"PL0100_BVH_2141862","OMAFIETS","HOLLANDIA","ZWART","DAMES","dames"
"PL0100_BVH_2145769","PICK-UP","SPARTA","ZWART","DAMES","dames"
"PL0100_BVH_2589520","ONBEKEND (OUD M","FONGERS","BLAUW","DAMES","dames"
"PL0100_BVH_2591053","OLD DUTCH","BATAVUS","ROOD","OPOE","opoe"
"PL0100_BVH_2924732","BUB XL","BATAVUS","ZWART","HEREN","heren"
"PL0100_BVH_2999858","OLD DUTCH","BATAVUS","BLAUW","OPOE","opoe"
"PL0100_BVH_3079204","CHAMONIX XTRA I","GAZELLE","GRIJS","ELECTRISCH","electrisch"
"PL0100_BVH_3196243","TOER BASIC","GAZELLE","ZWART","OPOE","opoe"
"PL0100_BVH_3430328",NA,"GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_1571743","OMA","ON THE ROAD","GROEN","DAMES","dames"
"PL0100_BVH_2540533",NA,"ONBEKEND","ZWART","OPOE","opoe"
"PL0100_BVH_2593457","CADIZ","GAZELLE","ONBEKEND",NA,NA
"PL0100_BVH_2854799","ROUBAIX SL EXPE","SPECIALIZED","ZWART","RACE","sport"
"PL0100_BVH_3471165","XANTA","GAZELLE","WIT","DAMES","dames"
"PL0100_BVH_1471320","ONBEKEND","ONBEKEND","ZWART","OPOE","opoe"
"PL0300_BVH_690805",NA,"BATAVUS","MEERKLEURIG","DAMES","dames"
"PL0100_BVH_2089848",NA,"ONBEKEND","ZWART","OPOE","opoe"
"PL0100_BVH_3086745","OMAFIETS","ONBEKEND","ZWART","OPOE","opoe"
"PL0100_BVH_3182116","TRAPEZ","TRIUMPH","ZWART",NA,NA
"PL0100_BVH_2831966",NA,"ONBEKEND","BRUIN","DAMES","dames"
"PL0100_BVH_1238930","IMPALA","GAZELLE","BRUIN","HEREN","heren"
"PL0100_BVH_1276163","PUNTA WITGOUD/B","GAZELLE","BLAUW","HEREN","heren"
"PL0100_BVH_3218914","ROAD BIKE","CORTINA","ZWART","OPOE","opoe"
"PL0100_BVH_1235286",NA,"ONBEKEND","WIT","DAMES","dames"
"PL0100_BVH_1287897",NA,"ONBEKEND","ZWART",NA,NA
"PL0100_BVH_1317534","MEDEO VV","GAZELLE","MEERKLEURIG","DAMES","dames"
"PL0100_BVH_1355609",NA,"SPARTA","CREME","DAMES","dames"
"PL0100_BVH_2808411","OPOEFIETS","ONBEKEND","BEIGE","DAMES","dames"
"PL0100_BVH_1585657",NA,"ONBEKEND","ROOD","VOUW","overig"
