cel,count,bushaltes,cameratoezicht_vlak,coffeeshops,horeca,onth_verg_drank_en_horeca,openbareverlichting,slaapopvang_en_methadon,verblijfsobjecten
0,0,0.0002931247,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000146,0.0000000000,0.0000000000
1,0,0.0004935337,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000002860,0.0000000000,0.0000000000
2,0,0.0008766006,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000047669,0.0000000000,0.0000000000
3,0,0.0017652668,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000555666,0.0000000000,0.0000000011
4,0,0.0038805324,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004572146,0.0000000000,0.0000004492
5,0,0.0084414471,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0027089161,0.0000000000,0.0000586225
6,0,0.0169308116,0.0000000000,0.0000000000,0.0000000000,0.0000000003,0.0116789831,0.0000000000,0.0021327391
7,0,0.0303300848,0.0000000000,0.0000000000,0.0000000020,0.0000000036,0.0364705582,0.0000000000,0.0208069580
8,0,0.0480182206,0.0000000000,0.0000000000,0.0000000835,0.0000000221,0.0815502713,0.0000000000,0.0619085190
9,0,0.0670855387,0.0000000000,0.0000000000,0.0000017222,0.0000000650,0.1303634468,0.0000000000,0.0815644100
10,0,0.0829251203,0.0000000000,0.0000000000,0.0000168112,0.0000000916,0.1517896715,0.0000000000,0.0627464090
11,0,0.0911762274,0.0000000000,0.0000000000,0.0000767887,0.0000000618,0.1326394653,0.0000000000,0.0270331250
12,0,0.0899025012,0.0000000000,0.0000000000,0.0001632086,0.0000000199,0.0882715881,0.0000000000,0.0099875443
13,0,0.0804882866,0.0000000000,0.0000000000,0.0001609708,0.0000000031,0.0449894443,0.0000000000,0.0024614595
14,0,0.0666662234,0.0000000000,0.0000000000,0.0000735757,0.0000000002,0.0201931293,0.0000000000,0.0002879138
15,0,0.0524857668,0.0000000000,0.0000000000,0.0000155751,0.0000000000,0.0123800311,0.0000000000,0.0000866267
16,0,0.0406110368,0.0000000000,0.0000000000,0.0000015266,0.0000000000,0.0102594009,0.0000000000,0.0001957552
17,0,0.0317861012,0.0000000000,0.0000000000,0.0000000694,0.0000000000,0.0072476821,0.0000000000,0.0001880221
18,0,0.0253648732,0.0000000000,0.0000000000,0.0000000017,0.0000000000,0.0037463021,0.0000000000,0.0001171704
19,0,0.0202590871,0.0000000000,0.0000000000,0.0000000005,0.0000000000,0.0014384256,0.0000000000,0.0001258974
20,0,0.0156858938,0.0000000000,0.0000000000,0.0000000006,0.0000000000,0.0004257311,0.0000000000,0.0000830886
21,0,0.0114305454,0.0000000000,0.0000000000,0.0000000004,0.0000000000,0.0000978581,0.0000000000,0.0000210579
22,0,0.0076858007,0.0000000000,0.0000000000,0.0000000001,0.0000000000,0.0000170497,0.0000000000,0.0000018117
23,0,0.0047248519,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000021697,0.0000000000,0.0000000669
24,0,0.0026598061,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000001961,0.0000000000,0.0000000017
25,0,0.0013909796,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000147,0.0000000000,0.0000000000
26,0,0.0006959764,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000024,0.0000000000,0.0000000000
27,0,0.0003463706,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000008,0.0000000000,0.0000000000
28,0,0.0001759793,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000002,0.0000000000,0.0000000000
29,0,0.0000903637,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
30,0,0.0011039720,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000002467,0.0000000000,0.0000000000
31,0,0.0016839409,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000010225,0.0000000000,0.0000000004
32,0,0.0024443219,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000108957,0.0000000000,0.0000000014
33,0,0.0037235412,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001081754,0.0000000000,0.0000000070
34,0,0.0064716939,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007762681,0.0000000000,0.0000014464
35,0,0.0124823234,0.0000000000,0.0000000000,0.0000000000,0.0000000003,0.0041108248,0.0000000000,0.0001105373
36,0,0.0241640558,0.0000000000,0.0000000000,0.0000000004,0.0000000103,0.0165811298,0.0000000000,0.0029678159
37,0,0.0435255343,0.0000000000,0.0000000000,0.0000000272,0.0000001492,0.0511751745,0.0000000000,0.0264775501
38,0,0.0705272859,0.0000000000,0.0000000000,0.0000009981,0.0000010501,0.1187410609,0.0000000000,0.0788331131
39,2,0.1017479298,0.0000000000,0.0000000000,0.0000185821,0.0000035669,0.2044880534,0.0000000000,0.1097159413
40,3,0.1306817611,0.0000000000,0.0000000000,0.0001694126,0.0000058300,0.2642733438,0.0000000000,0.1066333932
41,0,0.1501625091,0.0000000000,0.0000000000,0.0007370474,0.0000045754,0.2628525004,0.0000000000,0.0838123632
42,0,0.1557221574,0.0000000000,0.0000000000,0.0015075812,0.0000017213,0.2034441399,0.0000000000,0.0662512687
43,0,0.1476737967,0.0000000000,0.0000000000,0.0014385143,0.0000003100,0.1244504903,0.0000000000,0.0285095241
44,0,0.1305135133,0.0000000000,0.0000000000,0.0006378187,0.0000000267,0.0717771550,0.0000000000,0.0060634749
45,0,0.1102191829,0.0000000000,0.0000000000,0.0001311690,0.0000000011,0.0571531890,0.0000000000,0.0021040612
46,0,0.0913828063,0.0000000000,0.0000000000,0.0000125129,0.0000000001,0.0559004158,0.0000000000,0.0043083578
47,0,0.0758317780,0.0000000000,0.0000000000,0.0000005643,0.0000000001,0.0458119023,0.0000000000,0.0041573265
48,0,0.0630625679,0.0000000000,0.0000000000,0.0000000352,0.0000000001,0.0281995039,0.0000000000,0.0020040727
49,0,0.0516706405,0.0000000000,0.0000000000,0.0000000524,0.0000000001,0.0133417882,0.0000000000,0.0016391372
50,0,0.0406778679,0.0000000000,0.0000000000,0.0000000626,0.0000000001,0.0050140416,0.0000000000,0.0012277646
51,0,0.0300804143,0.0000000000,0.0000000000,0.0000000359,0.0000000000,0.0014885287,0.0000000000,0.0003677236
52,0,0.0205850864,0.0000000000,0.0000000000,0.0000000097,0.0000000000,0.0003361930,0.0000000000,0.0000470097
53,0,0.0129668800,0.0000000000,0.0000000000,0.0000000012,0.0000000000,0.0000552322,0.0000000000,0.0000046300
54,0,0.0075631431,0.0000000000,0.0000000000,0.0000000001,0.0000000000,0.0000064803,0.0000000000,0.0000002409
55,0,0.0041663938,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000007056,0.0000000000,0.0000000039
56,0,0.0022404701,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000001866,0.0000000000,0.0000000000
57,0,0.0012154051,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000748,0.0000000000,0.0000000000
58,0,0.0006705460,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000208,0.0000000000,0.0000000000
59,0,0.0003664634,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000035,0.0000000000,0.0000000000
60,0,0.0035683770,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000071685,0.0000000000,0.0000000042
61,0,0.0052713903,0.0000000000,0.0000000000,0.0000000004,0.0000000000,0.0000138639,0.0000000000,0.0000000808
62,0,0.0070219025,0.0000000000,0.0000000000,0.0000000021,0.0000000000,0.0000367617,0.0000000000,0.0000003330
63,0,0.0089317744,0.0000000000,0.0000000000,0.0000000053,0.0000000000,0.0002206947,0.0000000000,0.0000003261
64,0,0.0120347008,0.0000000000,0.0000000000,0.0000000060,0.0000000001,0.0012844423,0.0000000000,0.0000039122
65,0,0.0187621506,0.0000000000,0.0000000000,0.0000000032,0.0000000039,0.0054617211,0.0000000000,0.0002082875
66,0,0.0327763936,0.0000000000,0.0000000000,0.0000000049,0.0000001296,0.0178053170,0.0000000000,0.0033565393
67,0,0.0577000208,0.0000000000,0.0000000000,0.0000002312,0.0000021011,0.0483759698,0.0000000000,0.0192477675
68,0,0.0948308936,0.0000000000,0.0000000000,0.0000067976,0.0000166325,0.1114348437,0.0000000000,0.0486489097
69,1,0.1409237604,0.0000000000,0.0000000000,0.0001058789,0.0000640643,0.2083957602,0.0000000000,0.0767516984
70,3,0.1878257285,0.0000000000,0.0000000000,0.0008506127,0.0001196513,0.3076349646,0.0000000000,0.1061304885
71,3,0.2250895880,0.0000000000,0.0000000000,0.0033984840,0.0001080021,0.3603429609,0.0000000000,0.1454917589
